ledger_entry_id,account_code,accounting_date,currency,signed_amount,source_reference,source_type,description,entry_origin
led_GW406w6Sai,1100-BANK-OPERATING,2026-03-30,INR,26581.42,stl_w8mVmojlgN,SETTLEMENT,Settlement credited stl_w8mVmojlgN,IMPORTED
led_Wwt9UN9uwG,2100-PAYMENTS-CLEARING,2026-03-30,INR,10255.13,pay_cisLxeIJNh,PAYMENT,Payment captured pay_cisLxeIJNh,IMPORTED
led_dFe83Gbug7,2100-PAYMENTS-CLEARING,2026-03-30,INR,7504.61,pay_FiCqJLNNfR,PAYMENT,Payment captured pay_FiCqJLNNfR,IMPORTED
led_eS2KLNIgiD,2100-PAYMENTS-CLEARING,2026-03-30,INR,1900.07,pay_NZ3xBYxQFL,PAYMENT,Payment captured pay_NZ3xBYxQFL,IMPORTED
led_hQopSYRmpQ,2100-PAYMENTS-CLEARING,2026-03-30,INR,7504.61,pay_Yzxp7ldPf0,PAYMENT,Payment captured pay_Yzxp7ldPf0,IMPORTED
led_ymBhQCNgUp,2100-PAYMENTS-CLEARING,2026-03-30,INR,-583.00,rfd_Nc5rje9Ikp,REFUND,Refund processed rfd_Nc5rje9Ikp,IMPORTED
led_0S15Oww8EO,2100-PAYMENTS-CLEARING,2026-03-31,INR,9165.47,pay_Q8KJNEBrUR,PAYMENT,Payment captured pay_Q8KJNEBrUR,IMPORTED
led_JTuHg720QH,1100-BANK-OPERATING,2026-03-31,INR,22934.66,stl_1IIuTNux5X,SETTLEMENT,Settlement credited stl_1IIuTNux5X,IMPORTED
led_ZRSZUH8teH,2100-PAYMENTS-CLEARING,2026-03-31,INR,13769.19,pay_8OhO7FM3sK,PAYMENT,Payment captured pay_8OhO7FM3sK,IMPORTED
led_3sqdjDAfcY,2100-PAYMENTS-CLEARING,2026-04-01,INR,13769.19,pay_bUb0YOpJZx,PAYMENT,Payment captured pay_bUb0YOpJZx,IMPORTED
led_dYKbWp3eNn,1100-BANK-OPERATING,2026-04-01,INR,22934.66,stl_bMu31h7e7H,SETTLEMENT,Settlement credited stl_bMu31h7e7H,IMPORTED
led_f1SRdg4p65,2100-PAYMENTS-CLEARING,2026-04-01,INR,9165.47,pay_W60FpMyUW6,PAYMENT,Payment captured pay_W60FpMyUW6,IMPORTED
led_AF3CnxgDc1,2100-PAYMENTS-CLEARING,2026-04-02,INR,9740.57,pay_lhlFqxelKU,PAYMENT,Payment captured pay_lhlFqxelKU,IMPORTED
led_Blv5CfRrMD,1100-BANK-OPERATING,2026-04-02,INR,44210.42,stl_G5NU6VCxep,SETTLEMENT,Settlement credited stl_G5NU6VCxep,IMPORTED
led_XDAyPJQsaU,2100-PAYMENTS-CLEARING,2026-04-02,INR,17558.60,pay_DzUbtJgMdS,PAYMENT,Payment captured pay_DzUbtJgMdS,IMPORTED
led_m8BGOdskSY,2100-PAYMENTS-CLEARING,2026-04-02,INR,16911.25,pay_K4WanPAQZK,PAYMENT,Payment captured pay_K4WanPAQZK,IMPORTED
led_1xbkvNqiz3,2100-PAYMENTS-CLEARING,2026-04-03,INR,528.23,pay_gjgCGzmMAJ,PAYMENT,Payment captured pay_gjgCGzmMAJ,IMPORTED
led_9qbKrsGa28,2100-PAYMENTS-CLEARING,2026-04-03,INR,3962.23,pay_QECEUbuQGQ,PAYMENT,Payment captured pay_QECEUbuQGQ,IMPORTED
led_FSYfJZGUWx,2100-PAYMENTS-CLEARING,2026-04-03,INR,-76.00,rfd_ed41xVA5cQ,REFUND,Refund processed rfd_ed41xVA5cQ,IMPORTED
led_NSa3SjJFZT,2100-PAYMENTS-CLEARING,2026-04-03,INR,-2110.00,rfd_iYba9VQGbf,REFUND,Refund processed rfd_iYba9VQGbf,IMPORTED
led_fDOKvUZrRm,1100-BANK-OPERATING,2026-04-03,INR,2571.99,stl_TZxuIWVs5C,SETTLEMENT,Settlement credited stl_TZxuIWVs5C,IMPORTED
led_meDj6C5ZaW,2100-PAYMENTS-CLEARING,2026-04-03,INR,267.53,pay_NctLa3Vnmv,PAYMENT,Payment captured pay_NctLa3Vnmv,IMPORTED
led_DOoMombgcT,2100-PAYMENTS-CLEARING,2026-04-04,INR,10179.95,pay_M4Cix0RsKu,PAYMENT,Payment captured pay_M4Cix0RsKu,IMPORTED
led_N9jcx71Uei,1100-BANK-OPERATING,2026-04-04,INR,44142.64,stl_aIVAg4y4AP,SETTLEMENT,Settlement credited stl_aIVAg4y4AP,IMPORTED
led_NFA8VPswYU,2100-PAYMENTS-CLEARING,2026-04-04,INR,31754.48,pay_3UjY6a0SVK,PAYMENT,Payment captured pay_3UjY6a0SVK,IMPORTED
led_SWiV1s6JNR,2100-PAYMENTS-CLEARING,2026-04-04,INR,14660.65,pay_gSLSgH3rdY,PAYMENT,Payment captured pay_gSLSgH3rdY,IMPORTED
led_eUFD6klYWL,2100-PAYMENTS-CLEARING,2026-04-04,INR,-14634.00,pay_3UjY6a0SVK,PAYMENT,Refund adjustment pay_3UjY6a0SVK,IMPORTED
led_ranBrurbY9,2100-PAYMENTS-CLEARING,2026-04-04,INR,16815.56,pay_H7R68MGAIM,PAYMENT,Payment captured pay_H7R68MGAIM,IMPORTED
led_uyc1AjzE6v,2100-PAYMENTS-CLEARING,2026-04-04,INR,-14634.00,pay_3UjY6a0SVK,PAYMENT,Refund adjustment pay_3UjY6a0SVK,IMPORTED
