payment_id,order_id,status,currency,gross_amount,fee_amount,tax_amount,captured_at_utc,settlement_id
pay_NctLa3Vnmv,order_hXJspQCDaw,CAPTURED,INR,274.00,5.48,0.99,2026-04-03T11:02:05Z,stl_TZxuIWVs5C
pay_bUb0YOpJZx,order_57bgdmfOiO,CAPTURED,INR,14102.00,282.04,50.77,2026-04-01T22:09:08Z,stl_bMu31h7e7H
pay_lhlFqxelKU,order_pq6iycsLKg,CAPTURED,INR,9976.00,199.52,35.91,2026-04-02T01:07:59Z,stl_G5NU6VCxep
pay_NZ3xBYxQFL,order_MejKBi1H3O,CAPTURED,INR,1946.00,38.92,7.01,2026-03-30T06:15:19Z,stl_w8mVmojlgN
pay_NZ3xBYxQFL,order_MejKBi1H3O,CAPTURED,INR,1946.00,38.92,7.01,2026-03-30T06:15:19Z,stl_w8mVmojlgN
pay_W60FpMyUW6,order_BSjyOJivQU,CAPTURED,INR,9387.00,187.74,33.79,2026-04-01T20:45:05Z,stl_bMu31h7e7H
pay_8OhO7FM3sK,order_A2cVZR6PqL,CAPTURED,INR,14102.00,282.04,50.77,2026-03-31T05:27:19Z,stl_1IIuTNux5X
pay_3UjY6a0SVK,order_ixVUUjK4k4,CAPTURED,INR,32522.00,650.44,117.08,2026-04-04T00:23:16Z,stl_aIVAg4y4AP
pay_DzUbtJgMdS,order_ECfcoXdqYN,CAPTURED,INR,17983.00,359.66,64.74,2026-04-02T18:39:01Z,stl_G5NU6VCxep
pay_Yzxp7ldPf0,order_VzO7cWeP0I,CAPTURED,INR,7686.00,153.72,27.67,2026-03-30T23:59:59Z,stl_w8mVmojlgN
pay_M4Cix0RsKu,order_EOPbWlyLjn,CAPTURED,INR,10426.00,208.52,37.53,2026-04-04T10:39:09Z,stl_aIVAg4y4AP
pay_cisLxeIJNh,order_HOhwJ2OZJk,CAPTURED,INR,10503.00,210.06,37.81,2026-03-30T05:00:00Z,stl_w8mVmojlgN
pay_LSH3xlGWQ0,order_inxBa6PNef,CAPTURED,USD,15952.00,319.04,57.43,2026-03-30T11:06:40Z,
pay_QECEUbuQGQ,order_5ECULkRfcV,CAPTURED,INR,4058.00,81.16,14.61,2026-04-03T01:26:45Z,stl_TZxuIWVs5C
pay_FiCqJLNNfR,order_Qc2onR9pH5,CAPTURED,INR,7686.00,153.72,27.67,2026-03-30T00:00:00Z,stl_w8mVmojlgN
pay_Q8KJNEBrUR,order_YjVzo7uSQN,CAPTURED,INR,9387.00,187.74,33.79,2026-03-31T05:00:04Z,stl_1IIuTNux5X
pay_H7R68MGAIM,order_RROPPKGaAJ,CAPTURED,INR,17222.00,344.44,62.00,2026-04-04T14:20:28Z,stl_aIVAg4y4AP
pay_gjgCGzmMAJ,order_5B5uT66vJb,CAPTURED,INR,541.00,10.82,1.95,2026-04-03T02:57:45Z,stl_TZxuIWVs5C
pay_K4WanPAQZK,order_6Qfu5zt0XC,CAPTURED,INR,17320.00,346.40,62.35,2026-04-02T21:30:27Z,stl_G5NU6VCxep
pay_gSLSgH3rdY,order_2WIR3rUQbb,CAPTURED,INR,15015.00,300.30,54.05,2026-04-04T12:01:29Z,stl_aIVAg4y4AP
