ledger_entry_id,account_code,accounting_date,currency,signed_amount,source_reference,source_type,description,entry_origin
led_PAY_0001,2100-PAYMENTS-CLEARING,2026-03-01,INR,9763.02,pay_DEMO_0001,PAYMENT,Payment captured pay_DEMO_0001,IMPORTED
led_PAY_0002,2100-PAYMENTS-CLEARING,2026-03-01,INR,780.14,pay_DEMO_0002,PAYMENT,Payment captured pay_DEMO_0002,IMPORTED
led_PAY_0003,2100-PAYMENTS-CLEARING,2026-03-01,INR,487.22,pay_DEMO_0003,PAYMENT,Payment captured pay_DEMO_0003,IMPORTED
led_PAY_0004,2100-PAYMENTS-CLEARING,2026-03-01,INR,14157.80,pay_DEMO_0004,PAYMENT,Payment captured pay_DEMO_0004,IMPORTED
led_PAY_0005,2100-PAYMENTS-CLEARING,2026-03-01,INR,1463.62,pay_DEMO_0005,PAYMENT,Payment captured pay_DEMO_0005,IMPORTED
led_PAY_0006,2100-PAYMENTS-CLEARING,2026-03-01,INR,1220.50,pay_DEMO_0006,PAYMENT,Payment captured pay_DEMO_0006,IMPORTED
led_PAY_0007,2100-PAYMENTS-CLEARING,2026-03-01,INR,1220.50,pay_DEMO_0007,PAYMENT,Payment captured pay_DEMO_0007,IMPORTED
led_PAY_0008,2100-PAYMENTS-CLEARING,2026-03-01,INR,975.42,pay_DEMO_0008,PAYMENT,Payment captured pay_DEMO_0008,IMPORTED
led_PAY_0009,2100-PAYMENTS-CLEARING,2026-03-01,INR,14157.80,pay_DEMO_0009,PAYMENT,Payment captured pay_DEMO_0009,IMPORTED
led_PAY_0010,2100-PAYMENTS-CLEARING,2026-03-01,INR,780.14,pay_DEMO_0010,PAYMENT,Payment captured pay_DEMO_0010,IMPORTED
led_PAY_0011,2100-PAYMENTS-CLEARING,2026-03-01,INR,9763.02,pay_DEMO_0011,PAYMENT,Payment captured pay_DEMO_0011,IMPORTED
led_PAY_0012,2100-PAYMENTS-CLEARING,2026-03-01,INR,14157.80,pay_DEMO_0012,PAYMENT,Payment captured pay_DEMO_0012,IMPORTED
led_PAY_0013,2100-PAYMENTS-CLEARING,2026-03-01,INR,4881.02,pay_DEMO_0013,PAYMENT,Payment captured pay_DEMO_0013,IMPORTED
led_PAY_0014,2100-PAYMENTS-CLEARING,2026-03-01,INR,780.14,pay_DEMO_0014,PAYMENT,Payment captured pay_DEMO_0014,IMPORTED
led_PAY_0015,2100-PAYMENTS-CLEARING,2026-03-01,INR,7323.00,pay_DEMO_0015,PAYMENT,Payment captured pay_DEMO_0015,IMPORTED
led_PAY_0016,2100-PAYMENTS-CLEARING,2026-03-01,INR,2440.02,pay_DEMO_0016,PAYMENT,Payment captured pay_DEMO_0016,IMPORTED
led_PAY_0017,2100-PAYMENTS-CLEARING,2026-03-01,INR,487.22,pay_DEMO_0017,PAYMENT,Payment captured pay_DEMO_0017,IMPORTED
led_PAY_0018,2100-PAYMENTS-CLEARING,2026-03-01,INR,487.22,pay_DEMO_0018,PAYMENT,Payment captured pay_DEMO_0018,IMPORTED
led_PAY_0019,2100-PAYMENTS-CLEARING,2026-03-01,INR,780.14,pay_DEMO_0019,PAYMENT,Payment captured pay_DEMO_0019,IMPORTED
led_PAY_0020,2100-PAYMENTS-CLEARING,2026-03-01,INR,1220.50,pay_DEMO_0020,PAYMENT,Payment captured pay_DEMO_0020,IMPORTED
led_PAY_0021,2100-PAYMENTS-CLEARING,2026-03-01,INR,1220.50,pay_DEMO_0021,PAYMENT,Payment captured pay_DEMO_0021,IMPORTED
led_PAY_0022,2100-PAYMENTS-CLEARING,2026-03-01,INR,4881.02,pay_DEMO_0022,PAYMENT,Payment captured pay_DEMO_0022,IMPORTED
led_PAY_0023,2100-PAYMENTS-CLEARING,2026-03-01,INR,7323.00,pay_DEMO_0023,PAYMENT,Payment captured pay_DEMO_0023,IMPORTED
led_PAY_0024,2100-PAYMENTS-CLEARING,2026-03-01,INR,487.22,pay_DEMO_0024,PAYMENT,Payment captured pay_DEMO_0024,IMPORTED
led_PAY_0025,2100-PAYMENTS-CLEARING,2026-03-01,INR,4881.02,pay_DEMO_0025,PAYMENT,Payment captured pay_DEMO_0025,IMPORTED
led_PAY_0026,2100-PAYMENTS-CLEARING,2026-03-02,INR,1220.50,pay_DEMO_0026,PAYMENT,Payment captured pay_DEMO_0026,IMPORTED
led_PAY_0027,2100-PAYMENTS-CLEARING,2026-03-02,INR,14157.80,pay_DEMO_0027,PAYMENT,Payment captured pay_DEMO_0027,IMPORTED
led_PAY_0028,2100-PAYMENTS-CLEARING,2026-03-02,INR,9763.02,pay_DEMO_0028,PAYMENT,Payment captured pay_DEMO_0028,IMPORTED
led_PAY_0029,2100-PAYMENTS-CLEARING,2026-03-02,INR,14157.80,pay_DEMO_0029,PAYMENT,Payment captured pay_DEMO_0029,IMPORTED
led_PAY_0030,2100-PAYMENTS-CLEARING,2026-03-02,INR,4881.02,pay_DEMO_0030,PAYMENT,Payment captured pay_DEMO_0030,IMPORTED
led_PAY_0031,2100-PAYMENTS-CLEARING,2026-03-02,INR,2440.02,pay_DEMO_0031,PAYMENT,Payment captured pay_DEMO_0031,IMPORTED
led_PAY_0032,2100-PAYMENTS-CLEARING,2026-03-02,INR,1220.50,pay_DEMO_0032,PAYMENT,Payment captured pay_DEMO_0032,IMPORTED
led_PAY_0033,2100-PAYMENTS-CLEARING,2026-03-02,INR,3416.42,pay_DEMO_0033,PAYMENT,Payment captured pay_DEMO_0033,IMPORTED
led_PAY_0034,2100-PAYMENTS-CLEARING,2026-03-02,INR,7323.00,pay_DEMO_0034,PAYMENT,Payment captured pay_DEMO_0034,IMPORTED
led_PAY_0035,2100-PAYMENTS-CLEARING,2026-03-02,INR,1463.62,pay_DEMO_0035,PAYMENT,Payment captured pay_DEMO_0035,IMPORTED
led_PAY_0036,2100-PAYMENTS-CLEARING,2026-03-02,INR,24409.02,pay_DEMO_0036,PAYMENT,Payment captured pay_DEMO_0036,IMPORTED
led_PAY_0037,2100-PAYMENTS-CLEARING,2026-03-02,INR,487.22,pay_DEMO_0037,PAYMENT,Payment captured pay_DEMO_0037,IMPORTED
led_PAY_0038,2100-PAYMENTS-CLEARING,2026-03-02,INR,24409.02,pay_DEMO_0038,PAYMENT,Payment captured pay_DEMO_0038,IMPORTED
led_PAY_0039,2100-PAYMENTS-CLEARING,2026-03-02,INR,24409.02,pay_DEMO_0039,PAYMENT,Payment captured pay_DEMO_0039,IMPORTED
led_PAY_0040,2100-PAYMENTS-CLEARING,2026-03-02,INR,975.42,pay_DEMO_0040,PAYMENT,Payment captured pay_DEMO_0040,IMPORTED
led_PAY_0041,2100-PAYMENTS-CLEARING,2026-03-02,INR,14157.80,pay_DEMO_0041,PAYMENT,Payment captured pay_DEMO_0041,IMPORTED
led_PAY_0042,2100-PAYMENTS-CLEARING,2026-03-02,INR,2440.02,pay_DEMO_0042,PAYMENT,Payment captured pay_DEMO_0042,IMPORTED
led_PAY_0043,2100-PAYMENTS-CLEARING,2026-03-02,INR,1951.82,pay_DEMO_0043,PAYMENT,Payment captured pay_DEMO_0043,IMPORTED
led_PAY_0044,2100-PAYMENTS-CLEARING,2026-03-02,INR,1463.62,pay_DEMO_0044,PAYMENT,Payment captured pay_DEMO_0044,IMPORTED
led_PAY_0045,2100-PAYMENTS-CLEARING,2026-03-02,INR,975.42,pay_DEMO_0045,PAYMENT,Payment captured pay_DEMO_0045,IMPORTED
led_PAY_0046,2100-PAYMENTS-CLEARING,2026-03-02,INR,1220.50,pay_DEMO_0046,PAYMENT,Payment captured pay_DEMO_0046,IMPORTED
led_PAY_0047,2100-PAYMENTS-CLEARING,2026-03-02,INR,24409.02,pay_DEMO_0047,PAYMENT,Payment captured pay_DEMO_0047,IMPORTED
led_PAY_0048,2100-PAYMENTS-CLEARING,2026-03-02,INR,1951.82,pay_DEMO_0048,PAYMENT,Payment captured pay_DEMO_0048,IMPORTED
led_PAY_0049,2100-PAYMENTS-CLEARING,2026-03-02,INR,780.14,pay_DEMO_0049,PAYMENT,Payment captured pay_DEMO_0049,IMPORTED
led_PAY_0050,2100-PAYMENTS-CLEARING,2026-03-02,INR,780.14,pay_DEMO_0050,PAYMENT,Payment captured pay_DEMO_0050,IMPORTED
led_PAY_0051,2100-PAYMENTS-CLEARING,2026-03-02,INR,2440.02,pay_DEMO_0051,PAYMENT,Payment captured pay_DEMO_0051,IMPORTED
led_PAY_0052,2100-PAYMENTS-CLEARING,2026-03-02,INR,780.14,pay_DEMO_0052,PAYMENT,Payment captured pay_DEMO_0052,IMPORTED
led_PAY_0053,2100-PAYMENTS-CLEARING,2026-03-02,INR,1951.82,pay_DEMO_0053,PAYMENT,Payment captured pay_DEMO_0053,IMPORTED
led_PAY_0054,2100-PAYMENTS-CLEARING,2026-03-02,INR,1951.82,pay_DEMO_0054,PAYMENT,Payment captured pay_DEMO_0054,IMPORTED
led_PAY_0055,2100-PAYMENTS-CLEARING,2026-03-02,INR,7323.00,pay_DEMO_0055,PAYMENT,Payment captured pay_DEMO_0055,IMPORTED
led_PAY_0056,2100-PAYMENTS-CLEARING,2026-03-02,INR,1463.62,pay_DEMO_0056,PAYMENT,Payment captured pay_DEMO_0056,IMPORTED
led_PAY_0057,2100-PAYMENTS-CLEARING,2026-03-02,INR,24409.02,pay_DEMO_0057,PAYMENT,Payment captured pay_DEMO_0057,IMPORTED
led_PAY_0058,2100-PAYMENTS-CLEARING,2026-03-02,INR,487.22,pay_DEMO_0058,PAYMENT,Payment captured pay_DEMO_0058,IMPORTED
led_PAY_0059,2100-PAYMENTS-CLEARING,2026-03-02,INR,14157.80,pay_DEMO_0059,PAYMENT,Payment captured pay_DEMO_0059,IMPORTED
led_PAY_0060,2100-PAYMENTS-CLEARING,2026-03-02,INR,3416.42,pay_DEMO_0060,PAYMENT,Payment captured pay_DEMO_0060,IMPORTED
led_PAY_0061,2100-PAYMENTS-CLEARING,2026-03-02,INR,4881.02,pay_DEMO_0061,PAYMENT,Payment captured pay_DEMO_0061,IMPORTED
led_PAY_0062,2100-PAYMENTS-CLEARING,2026-03-02,INR,780.14,pay_DEMO_0062,PAYMENT,Payment captured pay_DEMO_0062,IMPORTED
led_PAY_0063,2100-PAYMENTS-CLEARING,2026-03-02,INR,2440.02,pay_DEMO_0063,PAYMENT,Payment captured pay_DEMO_0063,IMPORTED
led_PAY_0064,2100-PAYMENTS-CLEARING,2026-03-02,INR,780.14,pay_DEMO_0064,PAYMENT,Payment captured pay_DEMO_0064,IMPORTED
led_PAY_0065,2100-PAYMENTS-CLEARING,2026-03-02,INR,4881.02,pay_DEMO_0065,PAYMENT,Payment captured pay_DEMO_0065,IMPORTED
