bank_entry_id,posted_at_utc,value_date,currency,signed_amount,narration,utr,account_fingerprint
bnk_STL_001,2026-03-02T17:00:00Z,2026-03-02,INR,87326.24,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_01,UTR_RZP_202603_001,acc_hdfc_corp_001
bnk_STL_002,2026-03-03T17:00:00Z,2026-03-03,INR,153526.16,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_02,UTR_RZP_202603_002,acc_hdfc_corp_001
bnk_STL_003,2026-03-04T17:00:00Z,2026-03-04,INR,108511.18,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_03,UTR_RZP_202603_003,acc_hdfc_corp_001
bnk_STL_004,2026-03-05T17:00:00Z,2026-03-05,INR,97089.26,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_04,UTR_RZP_202603_004,acc_hdfc_corp_001
bnk_STL_005,2026-03-06T17:00:00Z,2026-03-06,INR,94547.68,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_05,UTR_RZP_202603_005,acc_hdfc_corp_001
bnk_STL_006,2026-03-07T17:00:00Z,2026-03-07,INR,145224.80,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_06,UTR_RZP_202603_006,acc_hdfc_corp_001
bnk_STL_007,2026-03-08T17:00:00Z,2026-03-08,INR,86934.70,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_07,UTR_RZP_202603_007,acc_hdfc_corp_001
bnk_STL_008,2026-03-09T17:00:00Z,2026-03-09,INR,120911.46,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_08,UTR_RZP_202603_008,acc_hdfc_corp_001
bnk_STL_009,2026-03-10T17:00:00Z,2026-03-10,INR,136776.98,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_09,UTR_RZP_202603_009,acc_hdfc_corp_001
bnk_STL_010,2026-03-11T17:00:00Z,2026-03-11,INR,109682.86,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_10,UTR_RZP_202603_010,acc_hdfc_corp_001
bnk_STL_011,2026-03-12T17:00:00Z,2026-03-12,INR,115004.24,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_11,UTR_RZP_202603_011,acc_hdfc_corp_001
bnk_STL_012,2026-03-13T17:00:00Z,2026-03-13,INR,116809.60,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_12,UTR_RZP_202603_012,acc_hdfc_corp_001
bnk_STL_013,2026-03-14T17:00:00Z,2026-03-14,INR,118961.60,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_13,UTR_RZP_202603_013,acc_hdfc_corp_001
bnk_STL_014,2026-03-15T17:00:00Z,2026-03-15,INR,67505.32,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_14,UTR_RZP_202603_014,acc_hdfc_corp_001
bnk_STL_015,2026-03-16T17:00:00Z,2026-03-16,INR,119203.74,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_15,UTR_RZP_202603_015,acc_hdfc_corp_001
bnk_STL_016,2026-03-17T17:00:00Z,2026-03-17,INR,105290.04,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_16,UTR_RZP_202603_016,acc_hdfc_corp_001
bnk_STL_017,2026-03-18T17:00:00Z,2026-03-18,INR,93864.20,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_17,UTR_RZP_202603_017,acc_hdfc_corp_001
bnk_STL_018,2026-03-19T17:00:00Z,2026-03-19,INR,152789.94,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_18,UTR_RZP_202603_018,acc_hdfc_corp_001
bnk_STL_019,2026-03-20T17:00:00Z,2026-03-20,INR,75950.20,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_19,UTR_RZP_202603_019,acc_hdfc_corp_001
bnk_STL_020,2026-03-21T17:00:00Z,2026-03-21,INR,87572.30,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_20,UTR_RZP_202603_020,acc_hdfc_corp_001
bnk_STL_021,2026-03-22T17:00:00Z,2026-03-22,INR,99381.84,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_21,UTR_RZP_202603_021,acc_hdfc_corp_001
bnk_STL_022,2026-03-23T17:00:00Z,2026-03-23,INR,86299.06,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_22,UTR_RZP_202603_022,acc_hdfc_corp_001
bnk_STL_023,2026-03-24T17:00:00Z,2026-03-24,INR,91424.18,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_23,UTR_RZP_202603_023,acc_hdfc_corp_001
bnk_STL_024,2026-03-25T17:00:00Z,2026-03-25,INR,88394.40,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_24,UTR_RZP_202603_024,acc_hdfc_corp_001
bnk_STL_025,2026-03-26T17:00:00Z,2026-03-26,INR,86005.16,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_25,UTR_RZP_202603_025,acc_hdfc_corp_001
bnk_STL_026,2026-03-27T17:00:00Z,2026-03-27,INR,111831.92,CMS/RAZORPAY NODAL SETTLEMENT/stl_DEMO_SETTLE_26,UTR_RZP_202603_026,acc_hdfc_corp_001
