payment_id,order_id,status,currency,gross_amount,fee_amount,tax_amount,captured_at_utc,settlement_id
pay_DEMO_0001,order_DEMO_0001,CAPTURED,INR,9999.00,199.98,36.00,2026-03-01T09:35:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0002,order_DEMO_0002,CAPTURED,INR,799.00,15.98,2.88,2026-03-01T10:10:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0003,order_DEMO_0003,CAPTURED,INR,499.00,9.98,1.80,2026-03-01T10:45:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0004,order_DEMO_0004,CAPTURED,INR,14500.00,290.00,52.20,2026-03-01T11:20:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0005,order_DEMO_0005,CAPTURED,INR,1499.00,29.98,5.40,2026-03-01T11:55:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0006,order_DEMO_0006,CAPTURED,INR,1250.00,25.00,4.50,2026-03-01T12:30:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0007,order_DEMO_0007,CAPTURED,INR,1250.00,25.00,4.50,2026-03-01T13:05:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0008,order_DEMO_0008,CAPTURED,INR,999.00,19.98,3.60,2026-03-01T13:40:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0009,order_DEMO_0009,CAPTURED,INR,14500.00,290.00,52.20,2026-03-01T14:15:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0010,order_DEMO_0010,CAPTURED,INR,799.00,15.98,2.88,2026-03-01T14:50:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0011,order_DEMO_0011,CAPTURED,INR,9999.00,199.98,36.00,2026-03-01T15:25:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0012,order_DEMO_0012,CAPTURED,INR,14500.00,290.00,52.20,2026-03-01T16:00:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0013,order_DEMO_0013,CAPTURED,INR,4999.00,99.98,18.00,2026-03-01T16:35:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0014,order_DEMO_0014,CAPTURED,INR,799.00,15.98,2.88,2026-03-01T17:10:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0015,order_DEMO_0015,CAPTURED,INR,7500.00,150.00,27.00,2026-03-01T17:45:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0016,order_DEMO_0016,CAPTURED,INR,2499.00,49.98,9.00,2026-03-01T18:20:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0017,order_DEMO_0017,CAPTURED,INR,499.00,9.98,1.80,2026-03-01T18:55:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0018,order_DEMO_0018,CAPTURED,INR,499.00,9.98,1.80,2026-03-01T19:30:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0019,order_DEMO_0019,CAPTURED,INR,799.00,15.98,2.88,2026-03-01T20:05:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0020,order_DEMO_0020,CAPTURED,INR,1250.00,25.00,4.50,2026-03-01T20:40:00Z,stl_DEMO_SETTLE_01
pay_DEMO_0021,order_DEMO_0021,CAPTURED,INR,1250.00,25.00,4.50,2026-03-01T21:15:00Z,stl_DEMO_SETTLE_02
pay_DEMO_0022,order_DEMO_0022,CAPTURED,INR,4999.00,99.98,18.00,2026-03-01T21:50:00Z,stl_DEMO_SETTLE_02
pay_DEMO_0023,order_DEMO_0023,CAPTURED,INR,7500.00,150.00,27.00,2026-03-01T22:25:00Z,stl_DEMO_SETTLE_02
pay_DEMO_0024,order_DEMO_0024,CAPTURED,INR,499.00,9.98,1.80,2026-03-01T23:00:00Z,stl_DEMO_SETTLE_02
