ledger_entry_id,account_code,accounting_date,currency,signed_amount,source_reference,source_type,description,entry_origin
syn_retryjournal_29dc7b8cb4a962db,2100-PAYMENTS-CLEARING,2026-09-02,INR,2193.00,pay_TX2y3Hv4fN6Ttq,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_48092e71d8fcb520,2100-PAYMENTS-CLEARING,2026-09-02,INR,567.28,pay_TX2nZO3K6S5xZ7,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_d68f66243d461de6,2100-PAYMENTS-CLEARING,2026-09-02,INR,1723.34,pay_TX2wTE6s7aiZTp,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_3902e9f0693e20f6,2100-PAYMENTS-CLEARING,2026-09-02,INR,278.28,pay_TX2a5b5RJZzTyn,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_b77cb19fcccd78c3,2100-PAYMENTS-CLEARING,2026-09-02,INR,495.04,pay_TX2nqFyKVnDXNJ,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_b903c90dfc0bd29f,2100-PAYMENTS-CLEARING,2026-09-02,INR,1000.80,pay_TX2rCkYV76KHJx,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_d59aaba3a7674ec9,2100-PAYMENTS-CLEARING,2026-09-02,INR,278.28,pay_TX2lnPusrbuNog,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_e2df0d83b39f143d,2100-PAYMENTS-CLEARING,2026-09-02,INR,-47.00,rfnd_TX2yec6zjUQwu4,REFUND,SYNTHETIC_DEMO refund booking,IMPORTED
syn_journal_17161b3e0305b7e4,2100-PAYMENTS-CLEARING,2026-09-02,INR,458.90,pay_TX2Z5LT67Wi4QE,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_fae9a2f313091154,2100-PAYMENTS-CLEARING,2026-09-02,INR,603.42,pay_TX2nE5Ejzy50p0,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_fc23770503874350,2100-PAYMENTS-CLEARING,2026-09-02,INR,350.52,pay_TX2kmSkvhUBT1n,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_fc23770503874350,2100-PAYMENTS-CLEARING,2026-09-02,INR,350.52,pay_TX2kmSkvhUBT1n,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_31e9a22245cf6110,2100-PAYMENTS-CLEARING,2026-09-02,INR,2193.00,pay_TX2y3Hv4fN6Ttq,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_81e0defe140551f7,2100-PAYMENTS-CLEARING,2026-09-02,INR,1614.96,pay_TX2v4qnmuzpooC,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_7582eab84b3ff111,2100-PAYMENTS-CLEARING,2026-09-02,INR,169.90,pay_TX2jU1PAhfDvG1,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_5da3cfc88f974493,2100-PAYMENTS-CLEARING,2026-09-02,INR,7250.74,pay_TX2cyBv7A3zzyO,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_71a07a09edf268f4,2100-PAYMENTS-CLEARING,2026-09-02,INR,1325.96,pay_TX2sqSGHsgDLEd,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_d39e7100c60a5638,2100-PAYMENTS-CLEARING,2026-09-02,INR,7395.26,pay_TX2cKomEIpETf3,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_0a60dc30eab0d25c,2100-PAYMENTS-CLEARING,2026-09-02,INR,7359.12,pay_TX2dGTwHiyEu5V,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_b11bf0d53c285e9f,2100-PAYMENTS-CLEARING,2026-09-02,INR,422.78,pay_TX2o72Ar0Hew4r,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_fac104a1b235c97e,2100-PAYMENTS-CLEARING,2026-09-02,INR,133.76,pay_TX2kVMb1IfZgR0,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_617cebbb39109988,2100-PAYMENTS-CLEARING,2026-09-02,INR,2156.86,pay_TX2xivo1MbYFjE,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_195e102119e7f1f7,2100-PAYMENTS-CLEARING,2026-09-02,INR,820.18,pay_TX2qnFJMqGEKta,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_a351ce09a581d947,2100-PAYMENTS-CLEARING,2026-09-02,INR,1434.34,pay_TX2tngdSOHgIoR,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_b5723318e0fc76c3,2100-PAYMENTS-CLEARING,2026-09-02,INR,1253.70,pay_TX2sHGnnAEbt9k,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_b47e0a2a12709a15,2100-PAYMENTS-CLEARING,2026-09-02,INR,2048.48,pay_TX2wsgchcGt4XD,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_2f9e8baf12843d5f,2100-PAYMENTS-CLEARING,2026-09-02,INR,1542.72,pay_TX2uneXfBvVYnL,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_e17698701618298b,2100-PAYMENTS-CLEARING,2026-09-02,INR,1290.82,pay_TX2sVQSvRsH1PJ,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_4a0892dbc5407964,2100-PAYMENTS-CLEARING,2026-09-02,INR,531.16,pay_TX2oQaEg09QPQA,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_172a94c56c146aa2,2100-PAYMENTS-CLEARING,2026-09-02,INR,675.66,pay_TX2mCid7GSIjbg,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_50a3d477f021eaf2,2100-PAYMENTS-CLEARING,2026-09-02,INR,314.40,pay_TX2RsUHUGJhhne,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_8e0caa495601df53,2100-PAYMENTS-CLEARING,2026-09-02,INR,169.90,pay_TX2ZLgv3w3Z5rs,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_8c9f3400a2d670be,2100-PAYMENTS-CLEARING,2026-09-02,INR,964.68,pay_TX2rp8Njfe9EOc,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_6d27d6225177a6b4,2100-PAYMENTS-CLEARING,2026-09-02,INR,7214.62,pay_TX2cdLxULBhs0L,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_6aa183deef34074c,2100-PAYMENTS-CLEARING,2026-09-02,INR,314.40,,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_ec8ba6d8716cf4d1,2100-PAYMENTS-CLEARING,2026-09-02,INR,1470.46,pay_TX2tz0kA6pyWyl,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_7464fde9ba40efdf,2100-PAYMENTS-CLEARING,2026-09-02,INR,386.66,pay_TX2YQQi8ctXqQl,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_52cef40a320368e3,2100-PAYMENTS-CLEARING,2026-09-02,INR,747.92,pay_TX2pe4ySTnzzMV,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_fcc7aef7134cff5b,2100-PAYMENTS-CLEARING,2026-09-02,INR,-39.60,rfnd_TX2yctGxDvDG2z,REFUND,SYNTHETIC_DEMO refund booking,IMPORTED
syn_journal_e2a4a62d1573d444,2100-PAYMENTS-CLEARING,2026-09-02,INR,1506.58,pay_TX2uD2j73J1JRc,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_ba718c4893a5414b,2100-PAYMENTS-CLEARING,2026-09-02,INR,1903.98,pay_TX2vTD6Tmfdzn4,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_179f34e036b558ef,2100-PAYMENTS-CLEARING,2026-09-02,INR,2084.62,pay_TX2x7D2e0526k8,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_8e5706e71046d621,2100-PAYMENTS-CLEARING,2026-09-02,INR,711.80,pay_TX2pHJi0Cg8uE3,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_00d9aa6c67333283,2100-PAYMENTS-CLEARING,2026-09-02,INR,422.78,pay_TX2PjxsuFzZSb7,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_5f562d880725d443,2100-PAYMENTS-CLEARING,2026-09-02,INR,856.30,pay_TX2pz9ZHb6u2qR,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_e7f10133a6ebe31b,1100-BANK-OPERATING,2026-09-03,INR,34683.70,demo_setl_bb09b59790c97b96,SETTLEMENT,SYNTHETIC_DEMO settlement booking,IMPORTED
syn_journal_93abccba03608fce,2100-PAYMENTS-CLEARING,2026-09-02,INR,206.02,pay_TX2lLdNwc143cQ,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_7fcaa0263d1b4d16,2100-PAYMENTS-CLEARING,2026-09-02,INR,133.76,pay_TX2ZhlzZjzagPx,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_f0e4b9663a1ae026,2100-PAYMENTS-CLEARING,2026-09-02,INR,1867.86,pay_TX2vhRiKLbzncy,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_77c268097e4f43e9,2100-PAYMENTS-CLEARING,2026-09-02,INR,7323.00,pay_TX2bVuQ6dhxqtR,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_9445808d83817e26,2100-PAYMENTS-CLEARING,2026-09-02,INR,7286.88,pay_TX2bqLjmYn0bQt,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_15eb77ac0c7bfd8f,2100-PAYMENTS-CLEARING,2026-09-02,INR,-43.30,rfnd_TX2yZLINds885Y,REFUND,SYNTHETIC_DEMO refund booking,IMPORTED
syn_journal_df5c1acf995f929b,1100-BANK-OPERATING,2026-09-05,INR,53653.96,demo_setl_d888961c211c22a3,SETTLEMENT,SYNTHETIC_DEMO settlement booking,IMPORTED
syn_journal_cb681e98947ea1e7,2100-PAYMENTS-CLEARING,2026-09-02,INR,1362.08,pay_TX2tLcFP4YIAAE,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_0e17160c8775ba55,2100-PAYMENTS-CLEARING,2026-09-02,INR,-13.70,rfnd_TX2yjkLMwwM5X3,REFUND,SYNTHETIC_DEMO refund booking,IMPORTED
syn_journal_a637b2859b0eeaa9,2100-PAYMENTS-CLEARING,2026-09-02,INR,928.56,pay_TX2s39Y5y7bvvI,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_2cd2dbd3ac00e1db,2100-PAYMENTS-CLEARING,2026-09-02,INR,892.42,pay_TX2qMn8E0l95FT,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_06e2239fe5315524,2100-PAYMENTS-CLEARING,2026-09-02,INR,784.04,pay_TX2rbAZwoDkB6c,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_45615e1252d0b758,2100-PAYMENTS-CLEARING,2026-09-02,INR,2012.36,pay_TX2xV5tOVF7Paw,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_48a8a87c6a3e64f7,2100-PAYMENTS-CLEARING,2026-09-02,INR,-17.40,rfnd_TX2ygvOsNJRYxH,REFUND,SYNTHETIC_DEMO refund booking,IMPORTED
syn_journal_c7b554696e9c11e6,2100-PAYMENTS-CLEARING,2026-09-02,INR,1109.20,pay_TX2t6GBwpGaAJH,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_16eea4465e5e5010,2100-PAYMENTS-CLEARING,2026-09-02,INR,386.66,pay_TX2jjflABkV3HQ,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_2d27ec53e44ca39c,2100-PAYMENTS-CLEARING,2026-09-02,INR,1398.20,pay_TX2tZbxTOyfe4d,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_66238b71c4cdbb80,2100-PAYMENTS-CLEARING,2026-09-02,INR,1578.84,pay_TX2uWpy9u5zVqc,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_f802e9f4d1e1f41f,1100-BANK-OPERATING,2026-09-03,INR,15355.82,demo_setl_ae383dc1b241e899,SETTLEMENT,SYNTHETIC_DEMO settlement booking,IMPORTED
syn_journal_a61e81ad81cf9aba,2100-PAYMENTS-CLEARING,2026-09-02,INR,1759.48,pay_TX2whKsIbexUUy,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_b9bf19703f33089e,2100-PAYMENTS-CLEARING,2026-09-02,INR,1940.10,pay_TX2vyJPaxREb5I,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
syn_journal_0b2df704bec97cf9,2100-PAYMENTS-CLEARING,2026-09-02,INR,-28.50,rfnd_TX2ymE34tOCjgn,REFUND,SYNTHETIC_DEMO refund booking,IMPORTED
syn_journal_7d5a9453c2bb06b0,2100-PAYMENTS-CLEARING,2026-09-02,INR,1976.24,pay_TX2wCVYmlL2aNn,PAYMENT,SYNTHETIC_DEMO payment booking,IMPORTED
