payment_id,order_id,status,currency,gross_amount,fee_amount,tax_amount,captured_at_utc,settlement_id
pay_TX2PjxsuFzZSb7,order_TU5LINXzrmZ86C,CAPTURED,INR,433.00,8.66,1.56,2026-09-02T04:33:59Z,demo_setl_d888961c211c22a3
pay_TX2RsUHUGJhhne,order_TU5LINhqfpsZn7,CAPTURED,INR,322.00,6.44,1.16,2026-09-02T04:36:00Z,demo_setl_d888961c211c22a3
pay_TX2YQQi8ctXqQl,order_TU5LINzRDnldrG,CAPTURED,INR,396.00,7.92,1.42,2026-09-02T04:42:12Z,demo_setl_d888961c211c22a3
pay_TX2Z5LT67Wi4QE,order_TU5LIONSPf1wmw,CAPTURED,INR,470.00,9.40,1.70,2026-09-02T04:42:49Z,demo_setl_d888961c211c22a3
pay_TX2ZLgv3w3Z5rs,order_TU5LIOQD7NoDuF,CAPTURED,INR,174.00,3.48,0.62,2026-09-02T04:43:04Z,demo_setl_d888961c211c22a3
pay_TX2ZhlzZjzagPx,order_TU5LIOSR6iVhCI,CAPTURED,INR,137.00,2.74,0.50,2026-09-02T04:43:25Z,demo_setl_d888961c211c22a3
pay_TX2a5b5RJZzTyn,order_TU5LIOdEq4xqyo,CAPTURED,INR,285.00,5.70,1.02,2026-09-02T04:43:47Z,demo_setl_d888961c211c22a3
pay_TX2bVuQ6dhxqtR,order_TU5LJTLijwIek9,CAPTURED,INR,7500.00,150.00,27.00,2026-09-02T04:45:07Z,demo_setl_d888961c211c22a3
pay_TX2bqLjmYn0bQt,order_TU5LJTMQyjIBuT,CAPTURED,INR,7463.00,149.26,26.86,2026-09-02T04:45:26Z,demo_setl_d888961c211c22a3
pay_TX2c5Wwv7qftCJ,order_TU5LJTNf29CMlV,CAPTURED,INR,7204.00,144.08,25.94,2026-09-02T04:45:40Z,demo_setl_d888961c211c22a3
pay_TX2cKomEIpETf3,order_TU5LJTwZqmw8QC,CAPTURED,INR,7574.00,151.48,27.26,2026-09-02T04:45:54Z,demo_setl_d888961c211c22a3
pay_TX2cdLxULBhs0L,order_TU5LJUiQQly4s0,CAPTURED,INR,7389.00,147.78,26.60,2026-09-02T04:46:11Z,demo_setl_d888961c211c22a3
pay_TX2cyBv7A3zzyO,order_TU5LJUmW2ZRRr5,CAPTURED,INR,7426.00,148.52,26.74,2026-09-02T04:46:30Z,demo_setl_d888961c211c22a3
pay_TX2dGTwHiyEu5V,order_TU5LJUr9Zhf9cO,CAPTURED,INR,7537.00,150.74,27.14,2026-09-02T04:46:47Z,demo_setl_d888961c211c22a3
pay_TX2jU1PAhfDvG1,order_TU5Lc50jmSNVen,CAPTURED,INR,174.00,3.48,0.62,2026-09-02T04:52:40Z,demo_setl_d888961c211c22a3
pay_TX2jjflABkV3HQ,order_TU5Lc5EG1oarjE,CAPTURED,INR,396.00,7.92,1.42,2026-09-02T04:52:55Z,demo_setl_d888961c211c22a3
pay_TX2jyOcYMAv2cc,order_TU5Lc5J6lP2bX1,CAPTURED,INR,248.00,4.96,0.90,2026-09-02T04:53:08Z,demo_setl_d888961c211c22a3
pay_TX2kDMPIJsJRNb,order_TU5Lc5JNuXpm7y,CAPTURED,INR,322.00,6.44,1.16,2026-09-02T04:53:21Z,demo_setl_d888961c211c22a3
pay_TX2kVMb1IfZgR0,order_TU5Lc5O9nhhCqJ,CAPTURED,INR,137.00,2.74,0.50,2026-09-02T04:53:38Z,demo_setl_d888961c211c22a3
pay_TX2kmSkvhUBT1n,order_TU5Lc5b7j2IDbQ,CAPTURED,INR,359.00,7.18,1.30,2026-09-02T04:53:54Z,demo_setl_d888961c211c22a3
pay_TX2lLdNwc143cQ,order_TU5Lc6YFe2fkx8,CAPTURED,INR,211.00,4.22,0.76,2026-09-02T04:54:26Z,demo_setl_ae383dc1b241e899
pay_TX2lnPusrbuNog,order_TU5LdEpZzXbItt,CAPTURED,INR,285.00,5.70,1.02,2026-09-02T04:54:51Z,demo_setl_ae383dc1b241e899
pay_TX2mCid7GSIjbg,order_TU5LdJS5Sb0rQy,CAPTURED,INR,692.00,13.84,2.50,2026-09-02T04:55:14Z,demo_setl_ae383dc1b241e899
pay_TX2nE5Ejzy50p0,order_TU5LdKO9l9gohR,CAPTURED,INR,618.00,12.36,2.22,2026-09-02T04:56:12Z,demo_setl_ae383dc1b241e899
pay_TX2nZO3K6S5xZ7,order_TU5LdKR03Jgiyw,CAPTURED,INR,581.00,11.62,2.10,2026-09-02T04:56:32Z,demo_setl_ae383dc1b241e899
